ts_code,name,opt_code,opt_type,call_put,exercise_price,maturity_date,list_date,delist_date
10006636.SH,华泰柏瑞沪深300ETF期权2401认购3.10,OP510300.SH,ETF期权,C,3.1,20240124,20240118,20240124
10006637.SH,华泰柏瑞沪深300ETF期权2401认购3.20,OP510300.SH,ETF期权,C,3.2,20240124,20240118,20240124
10006640.SH,华泰柏瑞沪深300ETF期权2401认购3.50,OP510300.SH,ETF期权,C,3.5,20240124,20240118,20240124
10006599.SH,华泰柏瑞沪深300ETF期权2401认购2.888,OP510300.SH,ETF期权,C,2.888,20240124,20240109,20240124
10006638.SH,华泰柏瑞沪深300ETF期权2401认购3.30,OP510300.SH,ETF期权,C,3.3,20240124,20240118,20240124
10006648.SH,华泰柏瑞沪深300ETF期权2401认沽3.40,OP510300.SH,ETF期权,P,3.4,20240124,20240118,20240124
10006641.SH,华泰柏瑞沪深300ETF期权2401认购3.60,OP510300.SH,ETF期权,C,3.6,20240124,20240118,20240124
10006646.SH,华泰柏瑞沪深300ETF期权2401认沽3.20,OP510300.SH,ETF期权,P,3.2,20240124,20240118,20240124
10006642.SH,华泰柏瑞沪深300ETF期权2401认沽2.90,OP510300.SH,ETF期权,P,2.9,20240124,20240118,20240124
10006633.SH,华泰柏瑞沪深300ETF期权2401认购2.90,OP510300.SH,ETF期权,C,2.9,20240124,20240118,20240124
10006647.SH,华泰柏瑞沪深300ETF期权2401认沽3.30,OP510300.SH,ETF期权,P,3.3,20240124,20240118,20240124
10006650.SH,华泰柏瑞沪深300ETF期权2401认沽3.60,OP510300.SH,ETF期权,P,3.6,20240124,20240118,20240124
10006635.SH,华泰柏瑞沪深300ETF期权2401认购3.00,OP510300.SH,ETF期权,C,3.0,20240124,20240118,20240124
10006600.SH,华泰柏瑞沪深300ETF期权2401认沽2.888,OP510300.SH,ETF期权,P,2.888,20240124,20240109,20240124
10006645.SH,华泰柏瑞沪深300ETF期权2401认沽3.10,OP510300.SH,ETF期权,P,3.1,20240124,20240118,20240124
10006643.SH,华泰柏瑞沪深300ETF期权2401认沽2.95,OP510300.SH,ETF期权,P,2.95,20240124,20240118,20240124
10006639.SH,华泰柏瑞沪深300ETF期权2401认购3.40,OP510300.SH,ETF期权,C,3.4,20240124,20240118,20240124
10006706.SH,华泰柏瑞沪深300ETF期权2401认沽3.70,OP510300.SH,ETF期权,P,3.7,20240124,20240119,20240124
10006634.SH,华泰柏瑞沪深300ETF期权2401认购2.95,OP510300.SH,ETF期权,C,2.95,20240124,20240118,20240124
10006705.SH,华泰柏瑞沪深300ETF期权2401认购3.70,OP510300.SH,ETF期权,C,3.7,20240124,20240119,20240124
10006644.SH,华泰柏瑞沪深300ETF期权2401认沽3.00,OP510300.SH,ETF期权,P,3.0,20240124,20240118,20240124
10006649.SH,华泰柏瑞沪深300ETF期权2401认沽3.50,OP510300.SH,ETF期权,P,3.5,20240124,20240118,20240124
10006615.SH,易方达上证科创板50ETF期权2401认购0.60,OP588080.SH,ETF期权,C,0.6,20240124,20240109,20240124
10006616.SH,易方达上证科创板50ETF期权2401认沽0.60,OP588080.SH,ETF期权,P,0.6,20240124,20240109,20240124
10006625.SH,易方达上证科创板50ETF期权2401认购0.55,OP588080.SH,ETF期权,C,0.55,20240124,20240118,20240124
10006626.SH,易方达上证科创板50ETF期权2401认沽0.55,OP588080.SH,ETF期权,P,0.55,20240124,20240118,20240124
10006721.SH,南方中证500ETF期权2401认购4.50,OP510500.SH,ETF期权,C,4.5,20240124,20240123,20240124
10006722.SH,南方中证500ETF期权2401认沽4.50,OP510500.SH,ETF期权,P,4.5,20240124,20240123,20240124
10006713.SH,南方中证500ETF期权2401认购4.60,OP510500.SH,ETF期权,C,4.6,20240124,20240122,20240124
10006714.SH,南方中证500ETF期权2401认沽4.60,OP510500.SH,ETF期权,P,4.6,20240124,20240122,20240124
10006607.SH,华夏上证科创板50ETF期权2401认购0.60,OP588000.SH,ETF期权,C,0.6,20240124,20240109,20240124
10006608.SH,华夏上证科创板50ETF期权2401认沽0.60,OP588000.SH,ETF期权,P,0.6,20240124,20240109,20240124
